Acc_x	Acc_y	Acc_z	Time	Total secs	
0.0129395	-0.183838	0.72998	04:04:12.880	14652	
-0.0629883	-0.137939	0.243896	04:04:12.920	14652	
0.0629883	0.155762	0.75	04:04:12.960	14652	
0.468994	0.0629883	2.06299	04:04:13.000	14653	
0.312988	-0.375	0.968994	04:04:13.040	14653	
0.125	0.0939941	-0.0939941	04:04:13.080	14653	
0.0629883	0.218994	0.843994	04:04:13.119	14653	
0.0939941	0	1.87598	04:04:13.160	14653	
0.437988	0.0629883	1.5	04:04:13.200	14653	
0.125	0.781982	-0.25	04:04:13.240	14653	
0.280762	-0.0307617	0.437988	04:04:13.280	14653	
0.0629883	-0.155762	1.53198	04:04:13.320	14653	
0.280762	-0.0629883	1.43799	04:04:13.360	14653	
0.312988	0.562988	-0.218994	04:04:13.400	14653	
0.0307617	0.280762	0.437988	04:04:13.439	14653	
0.25	-0.405762	2.03198	04:04:13.480	14653	
0.375	0.593994	1.75098	04:04:13.520	14653	
0.0629883	0.593994	-0.343994	04:04:13.560	14653	
0.125	0.0939941	0.468994	04:04:13.600	14653	
0.0307617	-0.280762	2.15698	04:04:13.640	14653	
0.530762	0.218994	1.75098	04:04:13.680	14653	
0.155762	0.530762	-0.155762	04:04:13.720	14653	
-0.0939941	0.0939941	0.25	04:04:13.759	14653	
0.468994	-0.5	1.56299	04:04:13.800	14653	
0.25	0.5	1.96899	04:04:13.840	14653	
0.0939941	-0.0939941	0.218994	04:04:13.880	14653	
-0.0939941	-0.312988	0.5	04:04:13.920	14653	
0.0307617	-0.187988	1.06299	04:04:13.960	14653	
0.625	0.593994	2.09399	04:04:14.000	14654	
0.23877	-0.444824	0.962891	04:04:14.040	14654	
-0.0187988	0.132812	0.11499	04:04:14.080	14654	
0.169922	0.203857	0.86499	04:04:14.119	14654	
0.444824	0.0388184	1.77783	04:04:14.160	14654	
0.0878906	-0.162842	0.755859	04:04:14.200	14654	
0	0.172852	0.105957	04:04:14.240	14654	
0.584961	0.0288086	0.763916	04:04:14.280	14654	
0.362793	-0.278809	1.58398	04:04:14.320	14654	
-0.0507812	-0.158936	0.625977	04:04:14.360	14654	
0.155762	0.268799	0.0559082	04:04:14.400	14654	
0.382812	-0.0249023	1.00977	04:04:14.439	14654	
0.477783	-0.0297852	1.86279	04:04:14.480	14654	
0.314941	0.538818	0.789795	04:04:14.520	14654	
0.10498	0.368896	0.0498047	04:04:14.560	14654	
0.280762	-0.412842	1.59399	04:04:14.600	14654	
